Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,WalkNYC Sign Locations,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution","Percentage Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution",Estimated number of radio sites for CBRS coverage,Estimated number of radio sites for mmWave coverage in optimal areas,Sample of NTA Field Surveyed? (Y/N),Reviewed for Underground Fiber-to-the-Premise? (Y/N),Reviewed for Aerial Fiber-to-the-Premise? (Y/N),Reviewed for Millimeter Wave Fixed Wireless Access? (Y/N),Field Survey Findings
MN01,Marble Hill-Inwood,Manhattan,52681,82827.05,19616,0.64,20,0.63,Low,0.7,Medium Low,0.13,High,2.5,Medium High,2.2,High,4,High,0,Low,1,0.97,2,2,0,false,729,19616,20345,1017,High,52432,631,4485,0,4531,false,8,19,4,0,High,44,55,17,0,11,0,7,3,20,1.15,High,0.43,Medium High,0.97,2,0.43,0.87,Above and Underground Network,High,4.5,High,0.21,Low,High,Low,YES,0.46,159,51,YES,YES,NO,NO,Average underground interference from existing utilities.
MN03,Central Harlem North-Polo Grounds,Manhattan,85872,94243.43,34519,0.91,43,0.63,Low,0.67,Low,0.06,High,2.5,High,2.3,High,4,High,0,Low,1,0.99,10,101,93,true,415,36145,36560,850,High,78790,2502,6641,148,9494,false,27,26,7,3,High,85,48,44,0,23,36,2,13,40,1.23,High,0.36,Medium High,0.97,2,0.07,0.97,Above and Underground Network,High,4.5,High,0.38,Medium Low,High,Low,YES,0.39,55,13,YES,YES,NO,NO,High underground interference from existing utilities.
MN04,Hamilton Heights,Manhattan,52508,90948.73,19521,0.58,26,0.71,Medium High,0.76,High,0.06,High,2.3,Medium High,2.1,High,4,High,0,Low,1,0.85,2,63,52,true,723,19521,20244,779,High,49470,748,3191,328,168,false,1,4,1,0,Medium Low,60,43,18,0,14,52,3,11,49,2.31,High,0.37,Medium High,0.88,2,0,0.89,Underground Network Areas,High,4.5,High,0.21,Low,High,Low,YES,0.43,139,4,NO,NO,NO,NO,NONE
MN06,Manhattanville,Manhattan,23666,61970.82,10054,0.38,17,0.64,Medium Low,0.64,Low,0.06,High,2.1,Medium High,1.9,High,3,Medium High,0,Low,1,0.81,1,19,15,true,931,8428,9359,551,Medium High,23306,380,2202,27,1369,false,4,14,3,0,Medium Low,49,9,17,0,2,14,2,3,12,0.88,Medium High,0.28,Medium Low,0.86,2,0,0.92,Underground Network Areas,Average,4.5,High,0.1,Low,Average,Average,YES,0.8,55,12,NO,NO,NO,NO,NONE
MN09,Morningside Heights,Manhattan,53707,74288.59,19313,0.72,35,0.72,Medium High,0.74,Medium High,0.04,Medium Low,2.6,High,2.4,High,5,High,0,Low,1,0.85,5,42,36,true,1532,19313,20845,596,Medium High,56243,270,1774,72,1940,false,4,7,0,1,Medium High,52,77,40,0,10,36,7,10,44,1.54,High,0.36,Medium High,0.64,3,0,0.9,Underground Network Areas,High,4.5,High,0.22,Low,High,Low,YES,0.67,50,2,NO,NO,NO,NO,NONE
MN11,Central Harlem South,Manhattan,50095,96725.47,20029,0.52,25,0.69,Medium Low,0.7,Medium Low,0.04,Medium Low,2.7,High,2.7,High,5,High,0,Low,1,1,2,69,74,true,702,20029,20731,829,High,47279,726,2477,276,0,false,6,18,2,2,Medium High,54,92,36,0,14,28,8,8,32,1.6,High,0.46,Medium High,0.9,3,0,1,Underground Network Areas,High,4.5,High,0.21,Low,High,Low,YES,0.6,132,38,NO,NO,NO,NO,NONE
MN12,Upper West Side,Manhattan,134019,108681.09,65005,1.23,56,0.81,High,0.8,High,0.05,Medium High,3.1,High,2.6,High,5,High,0,Low,1,0.87,4,143,136,true,2042,65005,67047,1197,High,133842,1046,3452,1171,3880,false,13,23,1,0,High,108,208,61,0,45,134,17,7,136,2.55,High,0.45,Medium High,0.5,3,0,0.92,Underground Network Areas,High,4.5,High,0.72,Medium Low,High,Low,YES,0.07,90,25,NO,NO,NO,NO,NONE
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,Manhattan,77205,58128.36,42717,1.33,58,0.84,High,0.83,High,0.04,Medium Low,4,High,4.7,High,11,High,0,Low,1,1,5,156,126,true,5410,42717,48127,830,High,96102,890,1395,849,3106,false,10,21,6,0,High,40,485,32,3,27,90,17,32,111,2.47,High,0.74,High,0.16,2,0,0.92,Underground Network Areas,High,4.5,High,0.51,Medium Low,High,Low,YES,0.04,27,10,NO,NO,NO,NO,NONE
MN14,Lincoln Square,Manhattan,59691,105290.94,32823,0.57,31,0.84,High,0.83,High,0.05,Medium High,3.3,High,3.2,High,7,High,0,Low,1,0.9,6,52,38,true,2220,32823,35043,1130,High,68056,444,856,0,1259,false,6,11,1,0,High,47,125,32,0,10,37,3,10,55,2.1,High,0.51,High,0.35,3,0,0.93,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,NO,0,47,27,NO,NO,NO,NO,NONE
MN15,Clinton,Manhattan,44293,67181.49,27430,0.66,31,0.79,High,0.8,High,0.04,Medium Low,4,High,3.8,High,9,High,0,Low,1,1,3,46,44,true,5428,27430,32858,1060,High,58067,796,593,427,377,false,2,18,1,0,High,20,188,17,0,7,43,2,1,52,1.71,High,0.78,High,0.16,1,0,0.87,Underground Network Areas,High,4.5,High,0.34,Medium Low,High,Low,YES,0.23,24,8,NO,NO,NO,NO,NONE
MN17,Midtown-Midtown South,Manhattan,27811,25681.73,15436,1.08,46,0.83,High,0.83,High,0.04,Medium Low,4.3,High,7,,11,High,0,Low,1,1,5,160,130,true,5733,15436,21169,460,Medium High,39081,288,308,772,0,false,0,3,2,0,High,33,820,47,1,8,128,55,61,229,6.3,High,1.43,High,0.11,2,0,1,Underground Network Areas,High,4.5,High,0.22,Low,High,Low,NO,0,75,19,NO,NO,NO,NO,NONE
MN19,Turtle Bay-East Midtown,Manhattan,49628,79549.63,29134,0.62,31,0.86,High,0.84,High,0.04,Medium Low,4,High,4.7,High,11,High,0,Low,1,1,3,111,102,true,5533,29134,34667,1118,High,56606,127,363,0,0,false,0,3,4,0,High,37,236,29,0,3,96,6,9,78,2.81,High,1.01,High,0.14,1,0,0.96,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,NO,0,86,21,NO,NO,NO,NO,NONE
MN20,Murray Hill-Kips Bay,Manhattan,47774,91947.44,26312,0.52,25,0.83,High,0.8,High,0.04,Medium Low,4.3,High,4.7,High,10,High,0,Low,1,1,2,82,79,true,5467,26312,31779,1271,High,51994,216,730,0,492,false,1,4,3,1,High,43,280,19,0,6,68,10,11,57,2.72,High,1.07,High,0.12,2,0,0.96,Underground Network Areas,High,4.5,High,0.33,Medium Low,High,Low,NO,0,124,50,NO,NO,NO,NO,NONE
MN21,Gramercy,Manhattan,27886,103290.72,14143,0.27,14,0.88,High,0.84,High,0.03,Low,4.3,High,4,High,8,High,0,Low,1,1,2,51,49,true,3975,14143,18118,1294,High,28580,231,129,410,0,false,0,16,1,0,High,21,183,16,0,8,48,6,5,37,3,High,0.93,High,0.13,1,0,1,Underground Network Areas,High,4.5,High,0.2,Low,High,Low,YES,0.27,87,51,NO,NO,NO,NO,NONE
MN22,East Village,Manhattan,43022,110099,21976,0.39,17,0.7,Medium Low,0.79,High,0.04,Medium Low,3.8,High,2.7,High,5,High,0,Low,1,1,3,58,53,true,2938,21976,24914,1466,High,44977,294,859,169,357,false,1,6,2,0,High,48,146,21,0,3,53,4,1,45,2.71,High,0.72,High,0.38,1,0,1,Underground Network Areas,High,4.5,High,0.27,Medium Low,High,Low,NO,0.05,142,68,NO,NO,NO,NO,NONE
MN23,West Village,Manhattan,66772,74450.43,36554,0.9,43,0.85,High,0.85,High,0.05,Medium High,3.9,High,3,High,9,High,0,Low,1,1,4,49,25,true,3094,36554,39648,922,High,67683,231,299,0,0,false,0,6,1,0,High,100,293,14,0,11,21,6,12,151,3.79,High,0.77,High,0.29,1,0,0.92,Underground Network Areas,High,4.5,High,0.43,Medium Low,High,Low,YES,0.25,44,16,NO,NO,NO,NO,NONE
MN24,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,42979,47867.59,19886,0.9,43,0.82,High,0.84,High,0.05,Medium High,3.6,High,3.6,High,14,High,0,Low,1,1,3,58,37,true,4070,19886,23956,557,Medium High,46753,180,1195,0,0,false,0,6,29,2,High,125,219,14,0,32,21,36,21,130,3.51,High,1.29,High,0.43,2,0,0.95,Underground Network Areas,High,4.5,High,0.25,Low,High,Low,YES,0.27,28,13,NO,NO,NO,NO,NONE
MN25,Battery Park City-Lower Manhattan,Manhattan,45737,67103.35,21956,0.68,41,0.89,High,0.88,High,0.03,Low,3.8,High,4.5,High,11,High,0,Low,1,1,2,52,38,true,1231,21956,23187,566,Medium High,44541,165,491,0,0,false,0,14,4,0,High,108,150,17,0,19,4,51,6,136,3.46,High,1.2,High,0.33,2,0.09,0.8,Above and Underground Network,Average,4.5,High,0.25,Low,Average,Average,NO,0.03,56,36,NO,NO,NO,NO,NONE
MN27,Chinatown,Manhattan,44898,86316.9,18595,0.52,35,0.54,Low,0.6,Low,0.03,Low,3.4,High,2.3,High,5,High,0,Low,1,1,3,29,14,true,2966,18595,21561,616,Medium High,48741,808,3988,0,2740,false,12,23,16,0,High,94,199,14,0,10,14,31,3,62,1.86,High,0.51,High,0.54,1,0,0.97,Underground Network Areas,Average,4.5,High,0.22,Low,Average,Average,NO,0,79,52,NO,NO,NO,NO,NONE
MN28,Lower East Side,Manhattan,72789,87107.03,31745,0.84,45,0.49,Low,0.57,Low,0.03,Low,3.6,High,2.4,High,4,High,0,Low,1,1,8,7,0,false,2480,31745,34225,761,High,75559,2614,6606,379,11589,false,32,22,3,2,Medium High,112,36,36,1,18,0,10,1,89,2,High,0.38,Medium High,0.34,2,0,0.94,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,YES,0.28,32,10,YES,YES,NO,NO,High underground interference from existing utilities.
MN31,Lenox Hill-Roosevelt Island,Manhattan,82051,106392.34,43061,0.77,36,0.84,High,0.82,High,0.04,Medium Low,3.3,High,2.8,High,5,High,0,Low,1,0.99,6,52,46,true,1604,43061,44665,1241,High,81782,554,822,0,150,false,1,12,3,1,Medium High,82,128,30,0,10,45,9,6,81,2.42,High,0.42,Medium High,0.42,3,0.06,0.77,Above and Underground Network,High,4.5,High,0.48,Medium Low,High,Low,YES,0.05,41,32,NO,NO,NO,NO,NONE
MN32,Yorkville,Manhattan,81278,166594.62,43627,0.49,19,0.84,High,0.84,High,0.05,Medium High,3.4,High,2.9,High,5,High,0,Low,1,0.95,2,14,13,true,1696,43627,45323,2385,High,78678,536,1083,65,1173,false,4,5,2,0,High,45,92,29,0,6,13,14,2,26,1.47,High,0.54,High,0.4,2,0,0.95,Underground Network Areas,High,4.5,High,0.48,Medium Low,High,Low,YES,0.05,42,20,NO,NO,NO,NO,NONE
MN33,East Harlem South,Manhattan,59777,100090.93,24632,0.6,30,0.64,Medium Low,0.68,Medium Low,0.07,High,2.8,High,2.8,High,5,High,0,Low,1,0.95,4,20,18,true,1067,24632,25699,857,High,63962,1291,4775,54,6671,false,25,27,2,3,High,78,77,34,0,13,14,8,14,36,1.67,High,0.51,High,0.76,3,0,0.97,Underground Network Areas,High,4.5,High,0.27,Medium Low,High,Low,YES,0.14,41,17,NO,NO,NO,NO,NONE
MN34,East Harlem North,Manhattan,61031,69465.25,24941,0.88,49,0.57,Low,0.59,Low,0.06,High,2.5,Medium High,2.6,High,5,High,0,Low,1,0.88,7,65,49,true,724,24941,25665,524,Medium High,71957,1654,6113,572,8684,false,24,21,8,0,Medium High,94,64,28,0,32,27,11,30,33,1.29,High,0.34,Medium High,0.98,2,0.07,0.94,Above and Underground Network,Average,4.5,High,0.26,Medium Low,Average,Average,YES,0.61,50,21,NO,NO,NO,NO,NONE
MN35,Washington Heights North,Manhattan,73523,90433.66,26000,0.81,28,0.72,Medium High,0.72,Medium High,0.07,High,2.4,Medium High,2.2,High,4,High,0,Low,1,0.95,1,25,20,true,735,26000,26735,955,High,68874,741,4726,0,0,false,0,19,2,0,Medium Low,70,96,24,1,17,20,12,8,15,0.82,Medium High,0.38,Medium High,1,2,0,0.88,Above and Underground Network,High,4.5,High,0.29,Medium Low,High,Low,YES,0.41,58,36,NO,NO,NO,NO,NONE
MN36,Washington Heights South,Manhattan,92476,111645.64,30122,0.83,46,0.62,Low,0.69,Medium Low,0.07,High,2.3,Medium High,2.1,High,4,High,0,Low,1,0.95,6,48,34,true,862,30122,30984,674,High,84565,1765,5963,316,998,false,6,16,3,1,High,88,118,36,0,29,34,9,16,36,1.13,High,0.33,Medium High,1,2,0.03,0.93,Above and Underground Network,Average,4.5,High,0.32,Medium Low,Average,Average,YES,0.31,17,8,NO,NO,NO,NO,NONE
MN40,Upper East Side-Carnegie Hill,Manhattan,58593,81412.57,28764,0.72,40,0.86,High,0.83,High,0.04,Medium Low,3.5,High,3.5,High,8,High,0,Low,1,1,1,54,46,true,2024,28764,30788,770,High,60923,89,777,0,0,false,0,4,1,0,High,92,276,6,0,9,45,9,10,110,3,High,0.66,High,0.58,3,0,1,Underground Network Areas,High,4.5,High,0.33,Medium Low,High,Low,YES,0.12,43,34,YES,YES,NO,NO,High underground interference from existing utilities.
MN50,Stuyvesant Town-Cooper Village,Manhattan,21462,107199.1,10434,0.2,10,0.81,High,0.8,High,0.04,Medium Low,3.8,High,2.2,High,4,High,0,Low,1,1,0,0,0,false,1746,10434,12180,1218,High,20913,69,183,0,0,false,0,0,0,0,Low,7,3,17,0,2,0,1,0,13,1.3,High,0.34,Medium High,0.35,1,0,0.9,Underground Network Areas,High,4.5,High,0.13,Low,High,Low,YES,0.44,25,8,NO,NO,NO,NO,NONE
MN99,park-cemetery-etc-Manhattan,Manhattan,1662,506.7,0,3.28,97,0,Low,0,Low,0,Low,2.1,Medium High,1.5,Medium-High,3,Medium High,0,Low,1,0.58,1,44,1,true,,,,,,,,,,,,,,,,,,,,,,,3,44,60,1.07,Medium High,,,,,,,,,,,,,,,,,,,,,,,
QN01,South Jamaica,Queens,41606,29019.75,12117,1.43,49,0.58,Low,0.72,Medium High,0.09,High,1.9,Medium Low,1,Low,1,Low,0.07,Medium Low,1,1,3,7,0,false,473,12117,12590,257,Medium Low,41371,923,2376,0,2096,true,4,8,16,0,Medium Low,125,5,7,0,3,0,0,9,12,0.43,Medium Low,0,,1,1,1,0,Above and Underground Network,Average,4,Average,1.08,Medium High,Average,Average,NO,0,49,14,NO,NO,NO,NO,NONE
QN02,Springfield Gardens North,Queens,27577,27044.99,10407,1.02,31,0.59,Low,0.71,Medium Low,0.15,High,2,Medium Low,1.4,Medium-High,2,Medium Low,0.05,Medium Low,1,1,4,5,0,false,901,10407,11308,365,Medium Low,25655,222,799,0,0,false,0,11,6,0,Low,54,5,12,0,3,0,0,3,1,0.13,Low,0,,1,2,1,0,Above Ground (Utility Pole Presence),Average,4,Average,0.97,Medium High,Average,Average,NO,0,70,21,NO,NO,NO,NO,NONE
QN03,Springfield Gardens South-Brookville,Queens,21900,14113.34,5918,1.55,67,0.64,Medium Low,0.78,High,0.16,High,1.8,Low,1.1,Low,2,Medium Low,0.22,High,0.96,0.96,0,0,0,false,658,5918,6576,98,Low,20537,250,602,0,0,true,0,5,8,0,Medium Low,36,6,3,0,1,0,0,14,4,0.27,Low,0,,1,2,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.56,Medium Low,Low,High,YES,0.09,44,19,NO,NO,NO,NO,NONE
QN05,Rosedale,Queens,27462,12430.88,7643,2.21,59,0.83,High,0.82,High,0.04,Medium Low,2,Medium High,1.2,Low,3,Medium High,0.11,Medium High,0.98,0.97,1,1,0,false,369,7643,8012,136,Low,25398,333,585,0,0,false,0,4,14,0,Low,69,8,5,0,3,0,0,4,6,0.17,Low,0,,0.86,2,0.95,0,Above and Underground Network,Low,3,Low,0.68,Medium Low,Low,High,YES,0.01,55,33,NO,NO,NO,NO,NONE
QN06,Jamaica Estates-Holliswood,Queens,26757,17433.64,9301,1.53,51,0.7,Medium Low,0.75,Medium High,0.1,High,1.9,Medium Low,1.1,Low,2,Medium Low,0.12,Medium High,1,1,1,1,0,false,871,9301,10172,199,Low,26372,167,704,0,0,false,0,2,4,0,Low,85,34,17,0,2,0,0,3,4,0.14,Low,0,,1,1,0.79,0.67,Above and Underground Network,Low,3,Low,0.87,Medium High,Low,High,YES,0.05,40,22,NO,NO,NO,NO,NONE
QN07,Hollis,Queens,21214,25841.15,6721,0.82,30,0.64,Medium Low,0.71,Medium High,0.13,High,2,Medium Low,1.2,Low,2,Medium Low,0.03,Low,1,1,1,1,0,false,346,6167,6513,217,Low,20676,238,781,0,0,false,0,5,1,0,Low,75,17,4,0,3,0,0,5,0,0.17,Low,0,,1,1,1,0.81,Above and Underground Network,Low,3,Low,0.55,Medium Low,Low,High,YES,0.07,95,6,NO,NO,NO,NO,NONE
QN08,St. Albans,Queens,54626,19673.41,15623,2.78,89,0.61,Low,0.73,Medium High,0.16,High,2,Medium High,1,Low,2,Medium Low,0.03,Low,1,1,1,20,0,false,548,15623,16171,182,Low,51236,440,1791,0,0,false,0,9,22,0,Medium High,177,9,32,0,3,0,0,11,7,0.2,Low,0,,1,1,1,0.07,Above and Underground Network,Low,3,Low,1.39,Medium High,Low,High,NO,0,102,4,NO,NO,NO,NO,NONE
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,28243,7918.81,10803,3.57,64,0.75,Medium High,0.71,Medium High,0.04,Medium Low,1.9,Medium Low,1.3,Medium-Low,3,Medium High,0.13,Medium High,0.95,0.95,3,17,0,false,168,10803,10971,171,Low,28409,90,641,0,0,false,0,9,16,0,Low,93,36,8,0,6,0,5,3,8,0.17,Low,0,,0.99,2,0.86,0,Above Ground (Utility Pole Presence),Low,3,Low,0.94,Medium High,Low,High,YES,0.1,43,0,NO,NO,NO,NO,NONE
QN12,Hammels-Arverne-Edgemere,Queens,39003,17568.47,13346,2.22,62,0.67,Medium Low,0.74,Medium High,0.06,High,1.7,Low,1.2,Medium-Low,2,Medium Low,0.34,High,0.89,0.89,6,9,0,false,295,13346,13641,220,Low,41227,781,3300,0,3411,false,8,5,14,0,Medium Low,90,2,21,0,2,0,5,3,1,0.06,Low,0,,1,2,0.88,0,Above and Underground Network,Low,3,Low,1.14,Medium High,Low,High,YES,0.29,51,10,NO,NO,NO,NO,NONE
QN15,Far Rockaway-Bayswater,Queens,54264,27933.29,16904,1.94,58,0.62,Low,0.63,Low,0.05,Medium High,2,Medium High,1.3,Medium-Low,3,Medium High,0.06,Medium Low,0.97,0.96,6,11,0,false,524,16904,17428,300,Medium Low,51612,1052,3239,0,604,false,2,14,22,0,Low,99,33,9,0,13,0,1,3,2,0.09,Low,0,,0.94,2,0.99,0,Above Ground (Utility Pole Presence),Average,4,Average,1.47,High,Average,Average,YES,0.26,83,0,NO,NO,NO,NO,NONE
QN17,Forest Hills,Queens,86531,41718.45,39394,2.07,67,0.78,High,0.72,Medium High,0.04,Medium Low,2,Medium High,1.3,Medium-Low,3,Medium High,0.1,Medium Low,1,1,5,30,24,true,2028,39394,41422,618,Medium High,86113,617,2679,0,430,false,5,12,7,0,Low,141,272,31,1,15,24,0,15,27,0.63,Medium High,0,,0.74,2,0.25,1,Above and Underground Network,Average,4.5,High,3.53,High,Average,Average,YES,0.35,48,0,NO,NO,NO,NO,NONE
QN18,Rego Park,Queens,28106,39294.28,12262,0.72,29,0.73,Medium High,0.65,Low,0.06,High,1.9,Medium Low,1.2,Low,2,Medium Low,0.15,Medium High,1,1,3,7,0,false,1183,12262,13445,464,Medium High,30912,373,1295,0,0,false,0,3,2,0,Low,52,102,20,0,6,0,2,3,14,0.59,Medium Low,0,,0.73,1,0.76,0.99,Above and Underground Network,Average,4.5,High,1.14,Medium High,Average,Average,YES,0.25,40,0,NO,NO,NO,NO,NONE
QN19,Glendale,Queens,34029,31606.65,11887,1.08,41,0.75,Medium High,0.73,Medium High,0.04,Medium Low,2.1,Medium High,1,Low,2,Medium Low,0.08,Medium Low,1,1,1,1,0,false,1962,11887,13849,338,Medium Low,32893,242,1120,0,0,false,0,3,4,0,Medium Low,88,29,12,0,3,0,3,8,5,0.32,Low,0,,0.85,2,0.42,1,Above and Underground Network,Average,4,Average,1.18,Medium High,Average,Average,NO,0.01,21,8,NO,NO,NO,NO,NONE
QN20,Ridgewood,Queens,72964,40285.76,24676,1.81,53,0.71,Medium High,0.73,Medium High,0.04,Medium Low,3,High,1.3,Medium-Low,3,Medium High,0.05,Low,1,1,2,2,0,false,1716,24257,25973,490,Medium High,72569,733,4211,0,0,true,0,12,8,0,Medium Low,140,140,21,0,11,0,1,13,24,0.7,Medium High,0,,0.07,2,0.66,0.94,Above and Underground Network,Average,4.5,High,2.22,High,Average,Average,YES,0.04,30,0,NO,NO,NO,NO,NONE
QN21,Middle Village,Queens,38033,18381.93,14751,2.07,53,0.78,High,0.7,Medium Low,0.04,Medium Low,2.7,High,1.1,Low,3,Medium High,0.11,Medium Low,1,1,2,9,0,false,780,14751,15531,293,Medium Low,38281,279,929,0,0,false,0,3,14,0,Low,108,53,7,0,3,0,1,16,8,0.45,Medium Low,0,,0.32,2,0.88,0.56,Above and Underground Network,Average,4,Average,1.31,Medium High,Average,Average,YES,0.03,69,16,NO,NO,NO,NO,NONE
QN22,Flushing,Queens,70697,52055.19,26279,1.36,44,0.55,Low,0.6,Low,0.14,High,2.1,Medium High,1.5,Medium-High,5,High,0.07,Medium Low,0.99,0.99,5,6,0,false,2829,26279,29108,662,High,82525,709,6578,0,906,false,5,10,4,0,Low,79,190,35,0,16,0,18,11,42,1.2,High,0,,0.54,2,0.74,0.65,Above and Underground Network,High,4.5,High,2.44,High,High,Low,YES,0.74,68,16,NO,NO,NO,NO,NONE
QN23,College Point,Queens,25875,14268.1,7778,1.81,44,0.68,Medium Low,0.61,Low,0.09,High,1.9,Medium Low,1.1,Low,3,Medium High,0.08,Medium Low,0.96,0.96,1,1,0,false,1594,7778,9372,213,Low,25650,238,1421,0,13,false,0,1,18,0,Low,76,22,15,0,5,0,0,4,10,0.32,Low,0,,1,2,0.98,0,Above and Underground Network,Low,3,Low,0.8,Medium Low,Low,High,YES,0.15,64,16,NO,NO,NO,NO,NONE
QN25,Corona,Queens,58626,81397.54,16379,0.72,27,0.67,Medium Low,0.7,Medium Low,0.06,High,2.6,High,1.3,Medium-High,2,Medium Low,0.16,Medium High,1,1,2,1,0,false,1442,16379,17821,660,High,60098,1267,4084,0,0,false,0,5,7,0,Low,58,29,18,0,3,0,1,13,5,0.67,Medium High,0,,0.23,2,0.91,1,Above and Underground Network,Average,4.5,High,1.55,High,Average,Average,YES,0.27,59,2,NO,NO,NO,NO,NONE
QN26,North Corona,Queens,54677,84684.68,11915,0.65,24,0.63,Low,0.68,Medium Low,0.05,Medium High,2.4,Medium High,1.1,Low,2,Medium Low,0.04,Low,0.99,0.99,5,2,1,true,1442,11915,13357,557,Medium High,57526,478,3778,0,0,false,0,8,3,0,Medium High,59,91,3,0,3,1,3,14,10,1,Medium High,0,,0.73,2,0.81,1,Above and Underground Network,Average,4.5,High,1.16,Medium High,Average,Average,YES,0.13,37,2,NO,NO,NO,NO,NONE
QN27,East Elmhurst,Queens,21760,30753.46,5850,0.71,29,0.7,Medium Low,0.69,Medium Low,0.03,Low,1.9,Medium Low,1.4,Medium-High,3,Medium High,0.13,Medium High,0.98,0.98,3,3,1,true,353,5850,6203,214,Low,24989,197,1274,0,0,false,0,5,8,0,Low,57,22,14,0,2,1,1,8,7,0.52,Medium Low,0,,1,1,0.93,1,Above and Underground Network,Low,3,Low,0.55,Medium Low,Low,High,YES,0.08,46,4,NO,NO,NO,NO,NONE
QN28,Jackson Heights,Queens,104125,60660.14,36101,1.72,62,0.75,Medium High,0.76,High,0.03,Low,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.19,Medium High,0.99,0.99,3,25,24,true,994,36101,37095,598,Medium High,114051,1753,6395,0,0,false,0,9,7,0,Medium Low,123,226,26,0,39,24,5,35,17,0.84,Medium High,0,,0.89,2,0.5,1,Above and Underground Network,Average,4.5,High,3.23,High,Average,Average,YES,0.31,62,23,NO,NO,NO,NO,NONE
QN29,Elmhurst,Queens,83663,71384.84,26214,1.17,46,0.72,Medium High,0.68,Medium Low,0.05,Medium High,2.6,High,1.3,Medium-Low,3,Medium High,0.12,Medium High,1,1,3,39,29,true,1683,26214,27897,606,Medium High,92647,1141,6122,0,0,false,0,9,10,2,High,102,174,21,0,16,29,8,17,11,0.61,Medium Low,0,,0.17,3,0.78,0.9,Above and Underground Network,Average,4.5,High,2.44,High,Average,Average,YES,0.3,55,6,YES,YES,YES,NO,"Average to High underground interference from existing utilities.  
Average to high make-ready requirements. Of the sample poles surveyed 50% required make-ready, and 33% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines, poles with power attachment removed leaving only the telecom space remaining, and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had power service drops and telecom service drops crossing in the same space without proper clearance between the two."
